"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"현대종합동물병원","서울특별시 강동구 구천면로 238 (천호동)","488-3703",
"CH동물병원","서울특별시 강동구 구천면로 322 (천호동)","488-7510",
"열린24시동물병원","서울특별시 강동구 양재대로 1508 (길동)","487-7575",
"박형우동물병원","서울특별시 강동구 올림픽로 560, 1층 (성내동)","02-488-8275",
"정동물병원","서울특별시 강동구 상암로 64 (천호동)","474-7588",
"펫클럽동물병원","서울특별시 강동구 구천면로 428, 108호 (명일동, 센트로빌)","3428-4036",
"시온동물병원","서울특별시 강동구 천호대로 1057 (천호동)","476-8275",
"늘사랑동물병원","서울특별시 강동구 고덕로 162, 101호 (명일동)","442-2223",
"Dr.베토벤동물병원","서울특별시 강동구 구천면로 664 (상일동)",
"성내동물병원","서울특별시 강동구 풍성로 145 (성내동)","484-5252",
"서울동물메디컬센터","서울특별시 강동구 양재대로 1410, 1층 (둔촌동, 준영빌딩)",
"비타민동물병원","서울특별시 강동구 동남로81길 82 (고덕동)","426-7509",
"아프리카동물병원","서울특별시 강동구 아리수로 421, 101호 (강일동, MIDC빌딩)","426-7722",
"한나동물병원","서울특별시 강동구 풍성로 197, 102호 (성내동, 한강훼밀리아파트)","479-2275",
"석동물병원","서울특별시 강동구 성안로 10 (성내동)",
"미드미동물의료센터","서울특별시 강동구 양재대로 1588 (명일동, 연우빌딩)",
"위즈펫동물병원 강동점","서울특별시 강동구 양재대로 1571 (천호동, 홈플러스 1층)","02-488-7524",
"Dr.주 동물병원","서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)","02 470 0030",
"내품에동물병원","서울특별시 강동구 천호대로 1120 (길동)","024771775",
"강앤정 동물병원","서울특별시 서대문구 가재울미래로 2, 204동 1층 102-2,103-1호 (남가좌동, DMC파크뷰자이)","02-305-7505",
"옥포동물병원","경상남도 거제시 옥포대첩로 20, 1층 (옥포동)",
"쓰담동물병원","경기도 부천시 소향로 131, 108호호 (중동, 일신빌딩)","0323297599",
"타잔동물병원","경기도 평택시 비전2로 192 (비전동, 메가타워)","031-651-8879",
"마린숲 동물병원","부산광역시 해운대구 마린시티3로 37, 207호 (우동, 한일오르듀)","051-742-7585",
"주주동물병원","경상남도 김해시 덕정로 85 (관동동)",
"레오동물병원","경기도 김포시 고촌읍 김포대로 348, 1층",
"그레이트 동물병원","경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)","031-716-7975",
"고마운 동물병원","울산광역시 동구 미포1길 56, 1층 (동부동)","052-251-7172",
"시온동물병원","서울특별시 강동구 천호대로 1057 (천호동)","476-8275",
"늘사랑동물병원","서울특별시 강동구 고덕로 162, 101호 (명일동)","442-2223",
"Dr.베토벤동물병원","서울특별시 강동구 구천면로 664 (상일동)",
"성내동물병원","서울특별시 강동구 풍성로 145 (성내동)","484-5252",
"서울동물메디컬센터","서울특별시 강동구 양재대로 1410, 1층 (둔촌동, 준영빌딩)",
"비타민동물병원","서울특별시 강동구 동남로81길 82 (고덕동)","426-7509",
"아프리카동물병원","서울특별시 강동구 아리수로 421, 101호 (강일동, MIDC빌딩)","426-7722",
"한나동물병원","서울특별시 강동구 풍성로 197, 102호 (성내동, 한강훼밀리아파트)","479-2275",
"석동물병원","서울특별시 강동구 성안로 10 (성내동)",
"미드미동물의료센터","서울특별시 강동구 양재대로 1588 (명일동, 연우빌딩)",
"위즈펫동물병원 강동점","서울특별시 강동구 양재대로 1571 (천호동, 홈플러스 1층)","02-488-7524",
"Dr.주 동물병원","서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)","02 470 0030",
"내품에동물병원","서울특별시 강동구 천호대로 1120 (길동)","024771775",
"강앤정 동물병원","서울특별시 서대문구 가재울미래로 2, 204동 1층 102-2,103-1호 (남가좌동, DMC파크뷰자이)","02-305-7505",
"옥포동물병원","경상남도 거제시 옥포대첩로 20, 1층 (옥포동)",
"쓰담동물병원","경기도 부천시 소향로 131, 108호호 (중동, 일신빌딩)","0323297599",
"타잔동물병원","경기도 평택시 비전2로 192 (비전동, 메가타워)","031-651-8879",
"마린숲 동물병원","부산광역시 해운대구 마린시티3로 37, 207호 (우동, 한일오르듀)","051-742-7585",
"주주동물병원","경상남도 김해시 덕정로 85 (관동동)",
"레오동물병원","경기도 김포시 고촌읍 김포대로 348, 1층",
"그레이트 동물병원","경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)","031-716-7975",
"고마운 동물병원","울산광역시 동구 미포1길 56, 1층 (동부동)","052-251-7172",
"365동물병원 위례점","경기도 성남시 수정구 위례동로 153, 205호 (창곡동, 에이플타워)","031-751-0365",
"이황 동물병원","서울특별시 마포구 월드컵로 147, 1층 (망원동, 한익빌딩)",
"봄날동물의료센터","경기도 평택시 만세로 1842 (비전동)","031-8054-7582",
"보드미동물병원","경기도 구리시 갈매중앙로55번길 107 (갈매동)","031-572-7571",
"서울대학교 대동물병원","강원도 평창군 대화면 평창대로 1597-1 (서울대학교그린바이오과학기술연구원)",
"도그플러스동물병원","경상북도 구미시 구미대로 174, 2층 (광평동, 홈플러스구미광평점)","054-462-0075",
"와우 동물병원","서울특별시 마포구 월드컵북로 167 (성산동)","023751963",
"호수동물병원","경기도 시흥시 목감남서로 9-19, 103호 (조남동)","031-403-0075",
"석동물병원","서울특별시 강동구 성안로 10 (성내동)",
"미드미동물의료센터","서울특별시 강동구 양재대로 1588 (명일동, 연우빌딩)",
"위즈펫동물병원 강동점","서울특별시 강동구 양재대로 1571 (천호동, 홈플러스 1층)","02-488-7524",
"Dr.주 동물병원","서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)","02 470 0030",
"내품에동물병원","서울특별시 강동구 천호대로 1120 (길동)","024771775",
"강앤정 동물병원","서울특별시 서대문구 가재울미래로 2, 204동 1층 102-2,103-1호 (남가좌동, DMC파크뷰자이)","02-305-7505",
"옥포동물병원","경상남도 거제시 옥포대첩로 20, 1층 (옥포동)",
"쓰담동물병원","경기도 부천시 소향로 131, 108호호 (중동, 일신빌딩)","0323297599",
"타잔동물병원","경기도 평택시 비전2로 192 (비전동, 메가타워)","031-651-8879",
"마린숲 동물병원","부산광역시 해운대구 마린시티3로 37, 207호 (우동, 한일오르듀)","051-742-7585",
"주주동물병원","경상남도 김해시 덕정로 85 (관동동)",
"레오동물병원","경기도 김포시 고촌읍 김포대로 348, 1층",
"그레이트 동물병원","경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)","031-716-7975",
"고마운 동물병원","울산광역시 동구 미포1길 56, 1층 (동부동)","052-251-7172",
"365동물병원 위례점","경기도 성남시 수정구 위례동로 153, 205호 (창곡동, 에이플타워)","031-751-0365",
"이황 동물병원","서울특별시 마포구 월드컵로 147, 1층 (망원동, 한익빌딩)",
"봄날동물의료센터","경기도 평택시 만세로 1842 (비전동)","031-8054-7582",
"보드미동물병원","경기도 구리시 갈매중앙로55번길 107 (갈매동)","031-572-7571",
"서울대학교 대동물병원","강원도 평창군 대화면 평창대로 1597-1 (서울대학교그린바이오과학기술연구원)",
"도그플러스동물병원","경상북도 구미시 구미대로 174, 2층 (광평동, 홈플러스구미광평점)","054-462-0075",
"와우 동물병원","서울특별시 마포구 월드컵북로 167 (성산동)","023751963",
"호수동물병원","경기도 시흥시 목감남서로 9-19, 103호 (조남동)","031-403-0075",
"24시 수유 바른펫 동물의료센터","서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)","02-903-7582",
"스칸디동물병원","경기도 성남시 수정구 위례광장로 70 (창곡동, 아트리버푸르지오)",
"고덕 고래힐동물병원","서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕 상가 2층 212,213호)","02-441-5515",
"해운대 24시 동물의료원","부산광역시 해운대구 양운로 45, 111호 (좌동, 해운대베르나움)",
"야탑서울동물병원","경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)","0505-315-1234",
"죽전 쿨펫동물병원","경기도 용인시 수지구 포은대로 552, 3층 (죽전동, 이마트)","031-261-7512",
"위즈펫동물병원 풍산점","경기도 고양시 일산동구 무궁화로 237 (풍동)",
"미엘동물병원","경기도 파주시 청석로 264, 201호 (동패동, 거묵프라자)","031-935-5009",
"타잔동물병원","경기도 평택시 비전2로 192 (비전동, 메가타워)","031-651-8879",
"마린숲 동물병원","부산광역시 해운대구 마린시티3로 37, 207호 (우동, 한일오르듀)","051-742-7585",
"주주동물병원","경상남도 김해시 덕정로 85 (관동동)",
"레오동물병원","경기도 김포시 고촌읍 김포대로 348, 1층",
"그레이트 동물병원","경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)","031-716-7975",
"고마운 동물병원","울산광역시 동구 미포1길 56, 1층 (동부동)","052-251-7172",
"365동물병원 위례점","경기도 성남시 수정구 위례동로 153, 205호 (창곡동, 에이플타워)","031-751-0365",
"이황 동물병원","서울특별시 마포구 월드컵로 147, 1층 (망원동, 한익빌딩)",
"봄날동물의료센터","경기도 평택시 만세로 1842 (비전동)","031-8054-7582",
"보드미동물병원","경기도 구리시 갈매중앙로55번길 107 (갈매동)","031-572-7571",
"서울대학교 대동물병원","강원도 평창군 대화면 평창대로 1597-1 (서울대학교그린바이오과학기술연구원)",
"도그플러스동물병원","경상북도 구미시 구미대로 174, 2층 (광평동, 홈플러스구미광평점)","054-462-0075",
"와우 동물병원","서울특별시 마포구 월드컵북로 167 (성산동)","023751963",
"호수동물병원","경기도 시흥시 목감남서로 9-19, 103호 (조남동)","031-403-0075",
"24시 수유 바른펫 동물의료센터","서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)","02-903-7582",
"스칸디동물병원","경기도 성남시 수정구 위례광장로 70 (창곡동, 아트리버푸르지오)",
"고덕 고래힐동물병원","서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕 상가 2층 212,213호)","02-441-5515",
"해운대 24시 동물의료원","부산광역시 해운대구 양운로 45, 111호 (좌동, 해운대베르나움)",
"야탑서울동물병원","경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)","0505-315-1234",
"죽전 쿨펫동물병원","경기도 용인시 수지구 포은대로 552, 3층 (죽전동, 이마트)","031-261-7512",
"위즈펫동물병원 풍산점","경기도 고양시 일산동구 무궁화로 237 (풍동)",
"미엘동물병원","경기도 파주시 청석로 264, 201호 (동패동, 거묵프라자)","031-935-5009",
"24시 SNC 동물메디컬센터","서울특별시 강남구 논현로 416, 1층 (역삼동, 운기빌딩)",
"본리종합동물병원","대구광역시 달서구 용산로 52 (장기동)","053-567-8275",
"미래동물의료센터","경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",
"청주온누리동물메디컬센터","충청북도 청주시 청원구 1순환로 148, 201호 (율량동)",
"화정힐동물병원","광주광역시 서구 화정로 211 (화정동, 유니버시아드힐스테이트2단지)","062-382-8575",
"우리덕구동물병원","서울특별시 은평구 진관2로 77, 205동 지하1층 B104호 (진관동, 은평뉴타운우물골)","02-6953-8275",
"본 동물메디컬센터","대구광역시 달서구 월배로 165 (진천동)","053-634-7582",
"이n김동물병원","서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)","9556530",
"봄날동물의료센터","경기도 평택시 만세로 1842 (비전동)","031-8054-7582",
"보드미동물병원","경기도 구리시 갈매중앙로55번길 107 (갈매동)","031-572-7571",
"서울대학교 대동물병원","강원도 평창군 대화면 평창대로 1597-1 (서울대학교그린바이오과학기술연구원)",
"도그플러스동물병원","경상북도 구미시 구미대로 174, 2층 (광평동, 홈플러스구미광평점)","054-462-0075",
"와우 동물병원","서울특별시 마포구 월드컵북로 167 (성산동)","023751963",
"호수동물병원","경기도 시흥시 목감남서로 9-19, 103호 (조남동)","031-403-0075",
"24시 수유 바른펫 동물의료센터","서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)","02-903-7582",
"스칸디동물병원","경기도 성남시 수정구 위례광장로 70 (창곡동, 아트리버푸르지오)",
"고덕 고래힐동물병원","서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕 상가 2층 212,213호)","02-441-5515",
"해운대 24시 동물의료원","부산광역시 해운대구 양운로 45, 111호 (좌동, 해운대베르나움)",
"야탑서울동물병원","경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)","0505-315-1234",
"죽전 쿨펫동물병원","경기도 용인시 수지구 포은대로 552, 3층 (죽전동, 이마트)","031-261-7512",
"위즈펫동물병원 풍산점","경기도 고양시 일산동구 무궁화로 237 (풍동)",
"미엘동물병원","경기도 파주시 청석로 264, 201호 (동패동, 거묵프라자)","031-935-5009",
"24시 SNC 동물메디컬센터","서울특별시 강남구 논현로 416, 1층 (역삼동, 운기빌딩)",
"본리종합동물병원","대구광역시 달서구 용산로 52 (장기동)","053-567-8275",
"미래동물의료센터","경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",
"청주온누리동물메디컬센터","충청북도 청주시 청원구 1순환로 148, 201호 (율량동)",
"화정힐동물병원","광주광역시 서구 화정로 211 (화정동, 유니버시아드힐스테이트2단지)","062-382-8575",
"우리덕구동물병원","서울특별시 은평구 진관2로 77, 205동 지하1층 B104호 (진관동, 은평뉴타운우물골)","02-6953-8275",
"본 동물메디컬센터","대구광역시 달서구 월배로 165 (진천동)","053-634-7582",
"이n김동물병원","서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)","9556530",
"서울동물병원","경상남도 창녕군 창녕읍 우포2로 1215, 203호",
"쿨펫동물병원 광교이마트점","경기도 수원시 영통구 광교로 191, 3층 (이의동)","031-211-7782",
"굿닥터동물병원","경상남도 진주시 사들로 52, 105호 (충무공동, 배제빌딩)","055-752-3365",
"가든펫동물병원","서울특별시 은평구 증산로9길 26-23, 지하1층 (증산동)","02-373-5555",
"쿨펫동물병원 롯데마트 금정점","부산광역시 금정구 중앙대로 1731 (부곡동, 롯데마트)","514-2470",
"닥터차 동물병원","충청남도 홍성군 홍북읍 청사로 146",
"국립축산과학원 축산자원개발부 동물병원","","041-580-3409",
"도담동물병원","전라북도 군산시 수송로 291, 2층 (미장동)","0634526700",
"고덕 고래힐동물병원","서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕 상가 2층 212,213호)","02-441-5515",
"해운대 24시 동물의료원","부산광역시 해운대구 양운로 45, 111호 (좌동, 해운대베르나움)",
"야탑서울동물병원","경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)","0505-315-1234",
"죽전 쿨펫동물병원","경기도 용인시 수지구 포은대로 552, 3층 (죽전동, 이마트)","031-261-7512",
"위즈펫동물병원 풍산점","경기도 고양시 일산동구 무궁화로 237 (풍동)",
"미엘동물병원","경기도 파주시 청석로 264, 201호 (동패동, 거묵프라자)","031-935-5009",
"24시 SNC 동물메디컬센터","서울특별시 강남구 논현로 416, 1층 (역삼동, 운기빌딩)",
"본리종합동물병원","대구광역시 달서구 용산로 52 (장기동)","053-567-8275",
"미래동물의료센터","경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",
"청주온누리동물메디컬센터","충청북도 청주시 청원구 1순환로 148, 201호 (율량동)",
"화정힐동물병원","광주광역시 서구 화정로 211 (화정동, 유니버시아드힐스테이트2단지)","062-382-8575",
"우리덕구동물병원","서울특별시 은평구 진관2로 77, 205동 지하1층 B104호 (진관동, 은평뉴타운우물골)","02-6953-8275",
"본 동물메디컬센터","대구광역시 달서구 월배로 165 (진천동)","053-634-7582",
"이n김동물병원","서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)","9556530",
"서울동물병원","경상남도 창녕군 창녕읍 우포2로 1215, 203호",
"쿨펫동물병원 광교이마트점","경기도 수원시 영통구 광교로 191, 3층 (이의동)","031-211-7782",
"굿닥터동물병원","경상남도 진주시 사들로 52, 105호 (충무공동, 배제빌딩)","055-752-3365",
"가든펫동물병원","서울특별시 은평구 증산로9길 26-23, 지하1층 (증산동)","02-373-5555",
"쿨펫동물병원 롯데마트 금정점","부산광역시 금정구 중앙대로 1731 (부곡동, 롯데마트)","514-2470",
"닥터차 동물병원","충청남도 홍성군 홍북읍 청사로 146",
"국립축산과학원 축산자원개발부 동물병원","","041-580-3409",
"도담동물병원","전라북도 군산시 수송로 291, 2층 (미장동)","0634526700",
"이브동물병원","부산광역시 부산진구 거제대로 14, 2층 (양정동)",
"정다운동물병원","충청남도 천안시 서북구 불당25로 192, 124호 (불당동, 골든주차타워)","041-557-7553",
"홍현관동물병원","강원도 태백시 황지로 80 (황지동)","552-9117",
"태백동물병원","강원도 태백시 번영로 212 (황지동)","553-3622",
"뉴광명종합동물병원","경기도 광명시 광명로 868 (광명동)","2060-7577",
"동물나라동물병원","경기도 광명시 범안로 1030 (하안동,103호)","896-7582",
"철산동물병원","경기도 광명시 철산로30번길 24 (철산동,철산상업지구 서울종합빌딩1층)","2060-0818",
"행복한동물병원","경기도 광명시 광복로 45-1 (광명동)","2625-7575",
"미래동물의료센터","경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",
"청주온누리동물메디컬센터","충청북도 청주시 청원구 1순환로 148, 201호 (율량동)",
"화정힐동물병원","광주광역시 서구 화정로 211 (화정동, 유니버시아드힐스테이트2단지)","062-382-8575",
"우리덕구동물병원","서울특별시 은평구 진관2로 77, 205동 지하1층 B104호 (진관동, 은평뉴타운우물골)","02-6953-8275",
"본 동물메디컬센터","대구광역시 달서구 월배로 165 (진천동)","053-634-7582",
"이n김동물병원","서울특별시 도봉구 마들로 664, 2층 (도봉동, 킴스타워)","9556530",
"서울동물병원","경상남도 창녕군 창녕읍 우포2로 1215, 203호",
"쿨펫동물병원 광교이마트점","경기도 수원시 영통구 광교로 191, 3층 (이의동)","031-211-7782",
"굿닥터동물병원","경상남도 진주시 사들로 52, 105호 (충무공동, 배제빌딩)","055-752-3365",
"가든펫동물병원","서울특별시 은평구 증산로9길 26-23, 지하1층 (증산동)","02-373-5555",
"쿨펫동물병원 롯데마트 금정점","부산광역시 금정구 중앙대로 1731 (부곡동, 롯데마트)","514-2470",
"닥터차 동물병원","충청남도 홍성군 홍북읍 청사로 146",
"국립축산과학원 축산자원개발부 동물병원","","041-580-3409",
"도담동물병원","전라북도 군산시 수송로 291, 2층 (미장동)","0634526700",
"이브동물병원","부산광역시 부산진구 거제대로 14, 2층 (양정동)",
"정다운동물병원","충청남도 천안시 서북구 불당25로 192, 124호 (불당동, 골든주차타워)","041-557-7553",
"홍현관동물병원","강원도 태백시 황지로 80 (황지동)","552-9117",
"태백동물병원","강원도 태백시 번영로 212 (황지동)","553-3622",
"뉴광명종합동물병원","경기도 광명시 광명로 868 (광명동)","2060-7577",
"동물나라동물병원","경기도 광명시 범안로 1030 (하안동,103호)","896-7582",
"철산동물병원","경기도 광명시 철산로30번길 24 (철산동,철산상업지구 서울종합빌딩1층)","2060-0818",
"행복한동물병원","경기도 광명시 광복로 45-1 (광명동)","2625-7575",
"닥터심 동물병원","경기도 광명시 광명로 818 (광명동)","2618-0075",
"진종합동물병원","경기도 광명시 금하로 541-8, 1층 (소하동)","898-7584",
"웰니스 동물병원","경기도 광명시 소하로 97 (소하동,3층)","899-8779",
"해담동물병원","경기도 광명시 디지털로 13 (철산동)","588-8275",
"광명시티동물병원","경기도 광명시 금하로 522 (소하동)","897-7585",
"봄빛동물병원","경기도 광명시 디지털로 56, 101호 (철산동, 래미안자이상가 )","2619-7588",
"하안동물병원","경기도 광명시 하안로 309, 1층 105호 (하안동, 세인빌딩 )","02-897-7580",
"마음동물병원","경기도 광명시 성채로50번길 25 (소하동)","02-897-9993",
"굿닥터동물병원","경상남도 진주시 사들로 52, 105호 (충무공동, 배제빌딩)","055-752-3365",
"가든펫동물병원","서울특별시 은평구 증산로9길 26-23, 지하1층 (증산동)","02-373-5555",
"쿨펫동물병원 롯데마트 금정점","부산광역시 금정구 중앙대로 1731 (부곡동, 롯데마트)","514-2470",
"닥터차 동물병원","충청남도 홍성군 홍북읍 청사로 146",
"국립축산과학원 축산자원개발부 동물병원","","041-580-3409",
"도담동물병원","전라북도 군산시 수송로 291, 2층 (미장동)","0634526700",
"이브동물병원","부산광역시 부산진구 거제대로 14, 2층 (양정동)",
"정다운동물병원","충청남도 천안시 서북구 불당25로 192, 124호 (불당동, 골든주차타워)","041-557-7553",
"홍현관동물병원","강원도 태백시 황지로 80 (황지동)","552-9117",
"태백동물병원","강원도 태백시 번영로 212 (황지동)","553-3622",
"뉴광명종합동물병원","경기도 광명시 광명로 868 (광명동)","2060-7577",
"동물나라동물병원","경기도 광명시 범안로 1030 (하안동,103호)","896-7582",
"철산동물병원","경기도 광명시 철산로30번길 24 (철산동,철산상업지구 서울종합빌딩1층)","2060-0818",
"행복한동물병원","경기도 광명시 광복로 45-1 (광명동)","2625-7575",
"닥터심 동물병원","경기도 광명시 광명로 818 (광명동)","2618-0075",
"진종합동물병원","경기도 광명시 금하로 541-8, 1층 (소하동)","898-7584",
"웰니스 동물병원","경기도 광명시 소하로 97 (소하동,3층)","899-8779",
"해담동물병원","경기도 광명시 디지털로 13 (철산동)","588-8275",
"광명시티동물병원","경기도 광명시 금하로 522 (소하동)","897-7585",
"봄빛동물병원","경기도 광명시 디지털로 56, 101호 (철산동, 래미안자이상가 )","2619-7588",
"하안동물병원","경기도 광명시 하안로 309, 1층 105호 (하안동, 세인빌딩 )","02-897-7580",
"마음동물병원","경기도 광명시 성채로50번길 25 (소하동)","02-897-9993",
"금정동물병원","경기도 군포시 금산로 100 (산본동)","031-394-2259",
"산본동물병원","경기도 군포시 산본천로 212 (산본동)","394-0816",
"명동물병원","경기도 군포시 번영로 602 (금정동)","452-7582",
"그랜드동물병원","경기도 군포시 군포로 521-1 (당동)","453-7582",
"제일동물병원","경기도 군포시 산본로 394, 1동 108,109호 (산본동, 대림프라자)","392-8850",
"토비동물병원","경기도 군포시 산본천로 198 (산본동)","399-1175",
"강남동물병원","경기도 군포시 산본로343번길 23, 104호 (산본동)","399-7599",
"행복나눔동물병원","경기도 군포시 군포로476번길 2, 1층 (당동)","398-9975",
"홍현관동물병원","강원도 태백시 황지로 80 (황지동)","552-9117",
"태백동물병원","강원도 태백시 번영로 212 (황지동)","553-3622",
"뉴광명종합동물병원","경기도 광명시 광명로 868 (광명동)","2060-7577",
"동물나라동물병원","경기도 광명시 범안로 1030 (하안동,103호)","896-7582",
"철산동물병원","경기도 광명시 철산로30번길 24 (철산동,철산상업지구 서울종합빌딩1층)","2060-0818",
"행복한동물병원","경기도 광명시 광복로 45-1 (광명동)","2625-7575",
"닥터심 동물병원","경기도 광명시 광명로 818 (광명동)","2618-0075",
"진종합동물병원","경기도 광명시 금하로 541-8, 1층 (소하동)","898-7584",
"웰니스 동물병원","경기도 광명시 소하로 97 (소하동,3층)","899-8779",
"해담동물병원","경기도 광명시 디지털로 13 (철산동)","588-8275",
"광명시티동물병원","경기도 광명시 금하로 522 (소하동)","897-7585",
"봄빛동물병원","경기도 광명시 디지털로 56, 101호 (철산동, 래미안자이상가 )","2619-7588",
"하안동물병원","경기도 광명시 하안로 309, 1층 105호 (하안동, 세인빌딩 )","02-897-7580",
"마음동물병원","경기도 광명시 성채로50번길 25 (소하동)","02-897-9993",
"금정동물병원","경기도 군포시 금산로 100 (산본동)","031-394-2259",
"산본동물병원","경기도 군포시 산본천로 212 (산본동)","394-0816",
"명동물병원","경기도 군포시 번영로 602 (금정동)","452-7582",
"그랜드동물병원","경기도 군포시 군포로 521-1 (당동)","453-7582",
"제일동물병원","경기도 군포시 산본로 394, 1동 108,109호 (산본동, 대림프라자)","392-8850",
"토비동물병원","경기도 군포시 산본천로 198 (산본동)","399-1175",
"강남동물병원","경기도 군포시 산본로343번길 23, 104호 (산본동)","399-7599",
"행복나눔동물병원","경기도 군포시 군포로476번길 2, 1층 (당동)","398-9975",
"산본중앙동물병원","경기도 군포시 고산로 686 (산본동)","031)395-0079",
"웰동물병원","경기도 군포시 산본천로 99, 103호 (산본동, 디퍼아울렛타운)","031-393-0975",
"프라하동물병원","경기도 군포시 용호1로 4, 104호 (당동)","031-391-7075",
"군포굿닥터동물병원","경기도 군포시 고산로 242, 1층 (당동)","031-391-7533",
"진선동물병원","경기도 오산시 성호대로 36 (오산동)",
"오산동물병원","경기도 오산시 성호대로 108 (원동)",
"원 종합동물병원","경기도 오산시 대원로 37-1 (원동)",
"25시 종합동물병원","경기도 오산시 성호대로 97 (오산동)","031-378-1114",
"웰니스 동물병원","경기도 광명시 소하로 97 (소하동,3층)","899-8779",
"해담동물병원","경기도 광명시 디지털로 13 (철산동)","588-8275",
"광명시티동물병원","경기도 광명시 금하로 522 (소하동)","897-7585",
"봄빛동물병원","경기도 광명시 디지털로 56, 101호 (철산동, 래미안자이상가 )","2619-7588",
"하안동물병원","경기도 광명시 하안로 309, 1층 105호 (하안동, 세인빌딩 )","02-897-7580",
"마음동물병원","경기도 광명시 성채로50번길 25 (소하동)","02-897-9993",
"금정동물병원","경기도 군포시 금산로 100 (산본동)","031-394-2259",
"산본동물병원","경기도 군포시 산본천로 212 (산본동)","394-0816",
"명동물병원","경기도 군포시 번영로 602 (금정동)","452-7582",
"그랜드동물병원","경기도 군포시 군포로 521-1 (당동)","453-7582",
"제일동물병원","경기도 군포시 산본로 394, 1동 108,109호 (산본동, 대림프라자)","392-8850",
"토비동물병원","경기도 군포시 산본천로 198 (산본동)","399-1175",
"강남동물병원","경기도 군포시 산본로343번길 23, 104호 (산본동)","399-7599",
"행복나눔동물병원","경기도 군포시 군포로476번길 2, 1층 (당동)","398-9975",
"산본중앙동물병원","경기도 군포시 고산로 686 (산본동)","031)395-0079",
"웰동물병원","경기도 군포시 산본천로 99, 103호 (산본동, 디퍼아울렛타운)","031-393-0975",
"프라하동물병원","경기도 군포시 용호1로 4, 104호 (당동)","031-391-7075",
"군포굿닥터동물병원","경기도 군포시 고산로 242, 1층 (당동)","031-391-7533",
"진선동물병원","경기도 오산시 성호대로 36 (오산동)",
"오산동물병원","경기도 오산시 성호대로 108 (원동)",
"원 종합동물병원","경기도 오산시 대원로 37-1 (원동)",
"25시 종합동물병원","경기도 오산시 성호대로 97 (오산동)","031-378-1114",
"우리동물병원","경기도 오산시 경기대로 178 (원동, 102,103호)","373-8486",
"쥬만지 동물병원","경기도 오산시 청학로 109 (궐동)","3740275",
"미소 동물병원","경기도 오산시 수청로 188 (금암동, 롯데슈퍼)","031-374-2579",
"튼튼동물병원","경기도 오산시 궐리사로 69 (궐동)","031-372-8333",
"저스트벳 동물병원","경기도 오산시 원동로 6 (원동, 파크스퀘어 105~106호)","031-378-1514",
"참동물병원","경기도 오산시 오산로 91-10 (갈곶동, 광성빌딩 101호)","031-374-1275",
"경기동물메디컬센터","경기도 오산시 운천로 3 (원동, 101호, 201호)","031-375-8875",
"혜수애견병원","경기도 의정부시 태평로 124 (의정부동)",
"명동물병원","경기도 군포시 번영로 602 (금정동)","452-7582",
"그랜드동물병원","경기도 군포시 군포로 521-1 (당동)","453-7582",
"제일동물병원","경기도 군포시 산본로 394, 1동 108,109호 (산본동, 대림프라자)","392-8850",
"토비동물병원","경기도 군포시 산본천로 198 (산본동)","399-1175",
"강남동물병원","경기도 군포시 산본로343번길 23, 104호 (산본동)","399-7599",
"행복나눔동물병원","경기도 군포시 군포로476번길 2, 1층 (당동)","398-9975",
"산본중앙동물병원","경기도 군포시 고산로 686 (산본동)","031)395-0079",
"웰동물병원","경기도 군포시 산본천로 99, 103호 (산본동, 디퍼아울렛타운)","031-393-0975",
"프라하동물병원","경기도 군포시 용호1로 4, 104호 (당동)","031-391-7075",
"군포굿닥터동물병원","경기도 군포시 고산로 242, 1층 (당동)","031-391-7533",
"진선동물병원","경기도 오산시 성호대로 36 (오산동)",
