"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"쿨펫동물병원","경기도 성남시 분당구 탄천상로151번길 20 (구미동)","711-7509",
"한사랑동물병원","경기도 성남시 중원구 금상로 74 (상대원동)","746-9725",
"조은동물병원","경기도 성남시 중원구 광명로 179-1 (중앙동)","741-1701",
"이솝동물병원","경기도 성남시 분당구 성남대로331번길 3-13 (정자동)","716-7581",
"신흥동물병원","경기도 성남시 수정구 수정로276번길 2 (신흥동)","732-2423",
"굿모닝펫 동물병원","경기도 성남시 분당구 정자일로 55 (금곡동,두산위브상가 108-110호)","715-7119",
"엔젤동물병원","경기도 성남시 분당구 성남대로171번길 17, 101호 (금곡동,씨티벨리)","031-713-5004",
"마루한 동물병원","경기도 성남시 분당구 내정로166번길 7-3, 101호 (수내동,서기빌딩)","717-0133",
"아이펫동물병원","경기도 성남시 분당구 장미로 78, 105호 (야탑동,시그마 3)","781-7501",
"강남동물병원","경기도 성남시 중원구 광명로 341 (금광동)","741-3012",
"고려애견종합병원","경기도 성남시 수정구 시민로 146 (신흥동)","735-1942",
"아름동물병원","경기도 성남시 분당구 성남대로779번길 52, 102호 (이매동,신흥코아)","706-7595",
"캐비어동물메디컬센터","경기도 성남시 중원구 산성대로 430 (금광동)","741-1798",
"양지동물병원","경기도 성남시 분당구 내정로165번길 50, 209호 (수내동, 크리스탈빌딩)","714-4119",
"정자프라임동물병원","경기도 성남시 분당구 내정로 58, 111호 (정자동,스포라이프상가)","715-8203",
"이플동물병원","경기도 성남시 수정구 복정로 35 (복정동)","751-3985",
"상록 동물병원","경기도 성남시 분당구 정자로 78 (정자동)","716-8275",
"우성동물병원","경기도 성남시 분당구 돌마로 481 (서현동,우성상가)","707-1776",
"행복이있는동물병원","경기도 성남시 분당구 돌마로 79, 104호 (금곡동, 썬프라자)","714-8275",
"해마루동물병원","경기도 성남시 분당구 황새울로319번길 8-6 (서현동)","781-2992",
"성남동물병원","경기도 성남시 중원구 둔촌대로 243 (하대원동)","752-7582",
"가나동물병원","경기도 성남시 수정구 수정로 160 (신흥동, 신흥상가)","721-7582",
"쿨펫동물병원","경기도 성남시 분당구 탄천상로151번길 20 (구미동)","711-7509",
"한사랑동물병원","경기도 성남시 중원구 금상로 74 (상대원동)","746-9725",
"조은동물병원","경기도 성남시 중원구 광명로 179-1 (중앙동)","741-1701",
"이솝동물병원","경기도 성남시 분당구 성남대로331번길 3-13 (정자동)","716-7581",
"신흥동물병원","경기도 성남시 수정구 수정로276번길 2 (신흥동)","732-2423",
"굿모닝펫 동물병원","경기도 성남시 분당구 정자일로 55 (금곡동,두산위브상가 108-110호)","715-7119",
"엔젤동물병원","경기도 성남시 분당구 성남대로171번길 17, 101호 (금곡동,씨티벨리)","031-713-5004",
"마루한 동물병원","경기도 성남시 분당구 내정로166번길 7-3, 101호 (수내동,서기빌딩)","717-0133",
"아이펫동물병원","경기도 성남시 분당구 장미로 78, 105호 (야탑동,시그마 3)","781-7501",
"강남동물병원","경기도 성남시 중원구 광명로 341 (금광동)","741-3012",
"고려애견종합병원","경기도 성남시 수정구 시민로 146 (신흥동)","735-1942",
"아름동물병원","경기도 성남시 분당구 성남대로779번길 52, 102호 (이매동,신흥코아)","706-7595",
"캐비어동물메디컬센터","경기도 성남시 중원구 산성대로 430 (금광동)","741-1798",
"양지동물병원","경기도 성남시 분당구 내정로165번길 50, 209호 (수내동, 크리스탈빌딩)","714-4119",
"정자프라임동물병원","경기도 성남시 분당구 내정로 58, 111호 (정자동,스포라이프상가)","715-8203",
"이플동물병원","경기도 성남시 수정구 복정로 35 (복정동)","751-3985",
"건국종합 동물병원","경기도 성남시 중원구 시민로 117 (성남동)","752-4113",
"에코바이오","경기도 성남시 중원구 산성대로420번길 3 (금광동)","733-1330",
"분당정자 동물병원","경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )","712-7275",
"세이브 동물병원","경기도 성남시 중원구 산성대로 336-3 (중앙동)","735-5995",
"우리들 동물병원","경기도 성남시 분당구 성남대로916번길 20, 110호 (야탑동,노블리치)","031-706-7588",
"분당고은 동물병원","경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)","703-6535",
"도촌 동물병원","경기도 성남시 중원구 도촌남로 37, 109호 (도촌동,도촌프라자)","755-5975",
"분당아마존동물병원","경기도 성남시 분당구 내정로 58, 107호 (정자동,스포라이프상가)","715-3575",
"조은동물병원","경기도 성남시 중원구 광명로 179-1 (중앙동)","741-1701",
"이솝동물병원","경기도 성남시 분당구 성남대로331번길 3-13 (정자동)","716-7581",
"신흥동물병원","경기도 성남시 수정구 수정로276번길 2 (신흥동)","732-2423",
"굿모닝펫 동물병원","경기도 성남시 분당구 정자일로 55 (금곡동,두산위브상가 108-110호)","715-7119",
"엔젤동물병원","경기도 성남시 분당구 성남대로171번길 17, 101호 (금곡동,씨티벨리)","031-713-5004",
"마루한 동물병원","경기도 성남시 분당구 내정로166번길 7-3, 101호 (수내동,서기빌딩)","717-0133",
"아이펫동물병원","경기도 성남시 분당구 장미로 78, 105호 (야탑동,시그마 3)","781-7501",
"강남동물병원","경기도 성남시 중원구 광명로 341 (금광동)","741-3012",
"고려애견종합병원","경기도 성남시 수정구 시민로 146 (신흥동)","735-1942",
"아름동물병원","경기도 성남시 분당구 성남대로779번길 52, 102호 (이매동,신흥코아)","706-7595",
"캐비어동물메디컬센터","경기도 성남시 중원구 산성대로 430 (금광동)","741-1798",
"양지동물병원","경기도 성남시 분당구 내정로165번길 50, 209호 (수내동, 크리스탈빌딩)","714-4119",
"정자프라임동물병원","경기도 성남시 분당구 내정로 58, 111호 (정자동,스포라이프상가)","715-8203",
"이플동물병원","경기도 성남시 수정구 복정로 35 (복정동)","751-3985",
"건국종합 동물병원","경기도 성남시 중원구 시민로 117 (성남동)","752-4113",
"에코바이오","경기도 성남시 중원구 산성대로420번길 3 (금광동)","733-1330",
"분당정자 동물병원","경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )","712-7275",
"세이브 동물병원","경기도 성남시 중원구 산성대로 336-3 (중앙동)","735-5995",
"우리들 동물병원","경기도 성남시 분당구 성남대로916번길 20, 110호 (야탑동,노블리치)","031-706-7588",
"분당고은 동물병원","경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)","703-6535",
"도촌 동물병원","경기도 성남시 중원구 도촌남로 37, 109호 (도촌동,도촌프라자)","755-5975",
"분당아마존동물병원","경기도 성남시 분당구 내정로 58, 107호 (정자동,스포라이프상가)","715-3575",
"아프리카 동물병원","경기도 성남시 분당구 서현로 170, 108호 (서현동)","705-7776",
"엘앰시 동물병원","경기도 성남시 중원구 사기막골로 124, 비즈동 912호 (상대원동, SK테크노파크)","776-2524",
"펫플러스 동물병원","경기도 성남시 분당구 느티로 16, 117호 (정자동,젤존타워)","713-8391",
"분당중앙 동물병원","경기도 성남시 분당구 중앙공원로39번길 49, 108호 (서현동)","031-708-8875",
"건국 동물병원","경기도 성남시 수정구 수정로 131, 109호 (태평동,낙원스카이뷰)","031-721-4111",
"우리동물병원","경기도 성남시 분당구 백현로156번길 17-2 (정자동)","031-719-5725",
"서현동물병원","경기도 성남시 분당구 중앙공원로39번길 35, 142호 (서현동,서현파크플라자)","707-3334",
"판교종합 동물병원","경기도 성남시 분당구 동판교로 122 (백현동)","8016-7507",
"고려애견종합병원","경기도 성남시 수정구 시민로 146 (신흥동)","735-1942",
"아름동물병원","경기도 성남시 분당구 성남대로779번길 52, 102호 (이매동,신흥코아)","706-7595",
"캐비어동물메디컬센터","경기도 성남시 중원구 산성대로 430 (금광동)","741-1798",
"양지동물병원","경기도 성남시 분당구 내정로165번길 50, 209호 (수내동, 크리스탈빌딩)","714-4119",
"정자프라임동물병원","경기도 성남시 분당구 내정로 58, 111호 (정자동,스포라이프상가)","715-8203",
"이플동물병원","경기도 성남시 수정구 복정로 35 (복정동)","751-3985",
"건국종합 동물병원","경기도 성남시 중원구 시민로 117 (성남동)","752-4113",
"에코바이오","경기도 성남시 중원구 산성대로420번길 3 (금광동)","733-1330",
"분당정자 동물병원","경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )","712-7275",
"세이브 동물병원","경기도 성남시 중원구 산성대로 336-3 (중앙동)","735-5995",
"우리들 동물병원","경기도 성남시 분당구 성남대로916번길 20, 110호 (야탑동,노블리치)","031-706-7588",
"분당고은 동물병원","경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)","703-6535",
"도촌 동물병원","경기도 성남시 중원구 도촌남로 37, 109호 (도촌동,도촌프라자)","755-5975",
"분당아마존동물병원","경기도 성남시 분당구 내정로 58, 107호 (정자동,스포라이프상가)","715-3575",
"아프리카 동물병원","경기도 성남시 분당구 서현로 170, 108호 (서현동)","705-7776",
"엘앰시 동물병원","경기도 성남시 중원구 사기막골로 124, 비즈동 912호 (상대원동, SK테크노파크)","776-2524",
"펫플러스 동물병원","경기도 성남시 분당구 느티로 16, 117호 (정자동,젤존타워)","713-8391",
"분당중앙 동물병원","경기도 성남시 분당구 중앙공원로39번길 49, 108호 (서현동)","031-708-8875",
"건국 동물병원","경기도 성남시 수정구 수정로 131, 109호 (태평동,낙원스카이뷰)","031-721-4111",
"우리동물병원","경기도 성남시 분당구 백현로156번길 17-2 (정자동)","031-719-5725",
"서현동물병원","경기도 성남시 분당구 중앙공원로39번길 35, 142호 (서현동,서현파크플라자)","707-3334",
"판교종합 동물병원","경기도 성남시 분당구 동판교로 122 (백현동)","8016-7507",
"행복한 동물병원","경기도 성남시 분당구 동판교로 225, 106호 (삼평동)","8017-5575",
"튼튼동물병원","경기도 성남시 분당구 판교로 443, 101호 (야탑동,중앙피지상가)","704-7582",
"정원 양한방동물병원","경기도 성남시 분당구 운중로 233, 201호 (판교동,한솔플라자)","707-7599",
"활기찬동물병원","경기도 성남시 분당구 장안로 39, 102-2호 (분당동,한일빌딩)","781-7525",
"최재호 한방동물병원","경기도 성남시 수정구 복정로 129 (복정동)","070-7139-2235",
"펫토피아 동물병원","경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)","714-8392",
"판교 P&P 동물병원","경기도 성남시 분당구 서판교로 36, 104호 (판교동)","8017-5558",
"남현우동물병원","경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동,양지마을 주상복합상가)","717-7577",
"분당정자 동물병원","경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )","712-7275",
"세이브 동물병원","경기도 성남시 중원구 산성대로 336-3 (중앙동)","735-5995",
"우리들 동물병원","경기도 성남시 분당구 성남대로916번길 20, 110호 (야탑동,노블리치)","031-706-7588",
"분당고은 동물병원","경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)","703-6535",
"도촌 동물병원","경기도 성남시 중원구 도촌남로 37, 109호 (도촌동,도촌프라자)","755-5975",
"분당아마존동물병원","경기도 성남시 분당구 내정로 58, 107호 (정자동,스포라이프상가)","715-3575",
"아프리카 동물병원","경기도 성남시 분당구 서현로 170, 108호 (서현동)","705-7776",
"엘앰시 동물병원","경기도 성남시 중원구 사기막골로 124, 비즈동 912호 (상대원동, SK테크노파크)","776-2524",
"펫플러스 동물병원","경기도 성남시 분당구 느티로 16, 117호 (정자동,젤존타워)","713-8391",
"분당중앙 동물병원","경기도 성남시 분당구 중앙공원로39번길 49, 108호 (서현동)","031-708-8875",
"건국 동물병원","경기도 성남시 수정구 수정로 131, 109호 (태평동,낙원스카이뷰)","031-721-4111",
"우리동물병원","경기도 성남시 분당구 백현로156번길 17-2 (정자동)","031-719-5725",
"서현동물병원","경기도 성남시 분당구 중앙공원로39번길 35, 142호 (서현동,서현파크플라자)","707-3334",
"판교종합 동물병원","경기도 성남시 분당구 동판교로 122 (백현동)","8016-7507",
"행복한 동물병원","경기도 성남시 분당구 동판교로 225, 106호 (삼평동)","8017-5575",
"튼튼동물병원","경기도 성남시 분당구 판교로 443, 101호 (야탑동,중앙피지상가)","704-7582",
"정원 양한방동물병원","경기도 성남시 분당구 운중로 233, 201호 (판교동,한솔플라자)","707-7599",
"활기찬동물병원","경기도 성남시 분당구 장안로 39, 102-2호 (분당동,한일빌딩)","781-7525",
"최재호 한방동물병원","경기도 성남시 수정구 복정로 129 (복정동)","070-7139-2235",
"펫토피아 동물병원","경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)","714-8392",
"판교 P&P 동물병원","경기도 성남시 분당구 서판교로 36, 104호 (판교동)","8017-5558",
"남현우동물병원","경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동,양지마을 주상복합상가)","717-7577",
"나라 동물병원","경기도 성남시 분당구 미금로 48, 113호 (구미동,오성프라자)","712-0707",
"시드니동물병원","경기도 성남시 수정구 태평로 10 (태평동)","723-7508",
"아이덱스래버러토리스 동물병원","경기도 성남시 분당구 황새울로319번길 8-6 (서현동,수의과학회관 7층)","031-702-0832",
"수아동물병원","경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)","031-708-3100",
"수 동물병원","경기도 성남시 분당구 운중로 135, 101,102호 (운중동, 더원스퀘어)","8017-0130",
"현대 동물병원","경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)","718-7282",
"프라임동물병원","경기도 성남시 분당구 운중로 124, 204호 (운중동, 마크시티 블루)","8017-9975",
"태평역 동물병원","경기도 성남시 수정구 성남대로 1238, 104호 (태평동, 삼능스페이스향)","758-3119",
"펫플러스 동물병원","경기도 성남시 분당구 느티로 16, 117호 (정자동,젤존타워)","713-8391",
"분당중앙 동물병원","경기도 성남시 분당구 중앙공원로39번길 49, 108호 (서현동)","031-708-8875",
"건국 동물병원","경기도 성남시 수정구 수정로 131, 109호 (태평동,낙원스카이뷰)","031-721-4111",
"우리동물병원","경기도 성남시 분당구 백현로156번길 17-2 (정자동)","031-719-5725",
"서현동물병원","경기도 성남시 분당구 중앙공원로39번길 35, 142호 (서현동,서현파크플라자)","707-3334",
"판교종합 동물병원","경기도 성남시 분당구 동판교로 122 (백현동)","8016-7507",
"행복한 동물병원","경기도 성남시 분당구 동판교로 225, 106호 (삼평동)","8017-5575",
"튼튼동물병원","경기도 성남시 분당구 판교로 443, 101호 (야탑동,중앙피지상가)","704-7582",
"정원 양한방동물병원","경기도 성남시 분당구 운중로 233, 201호 (판교동,한솔플라자)","707-7599",
"활기찬동물병원","경기도 성남시 분당구 장안로 39, 102-2호 (분당동,한일빌딩)","781-7525",
"최재호 한방동물병원","경기도 성남시 수정구 복정로 129 (복정동)","070-7139-2235",
"펫토피아 동물병원","경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)","714-8392",
"판교 P&P 동물병원","경기도 성남시 분당구 서판교로 36, 104호 (판교동)","8017-5558",
"남현우동물병원","경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동,양지마을 주상복합상가)","717-7577",
"나라 동물병원","경기도 성남시 분당구 미금로 48, 113호 (구미동,오성프라자)","712-0707",
"시드니동물병원","경기도 성남시 수정구 태평로 10 (태평동)","723-7508",
"아이덱스래버러토리스 동물병원","경기도 성남시 분당구 황새울로319번길 8-6 (서현동,수의과학회관 7층)","031-702-0832",
"수아동물병원","경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)","031-708-3100",
"수 동물병원","경기도 성남시 분당구 운중로 135, 101,102호 (운중동, 더원스퀘어)","8017-0130",
"현대 동물병원","경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)","718-7282",
"프라임동물병원","경기도 성남시 분당구 운중로 124, 204호 (운중동, 마크시티 블루)","8017-9975",
"태평역 동물병원","경기도 성남시 수정구 성남대로 1238, 104호 (태평동, 삼능스페이스향)","758-3119",
"모란동물병원","경기도 성남시 중원구 성남대로 1126, 106호 (성남동, 매가프라자)","752-7779",
"초이종합동물병원","경기도 성남시 수정구 시민로 159 (신흥동)","758-7776",
"분당파크뷰 동물병원","경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)","031-713-2111",
"AtoZ동물병원","경기도 성남시 분당구 동판교로 177, 1,2층 (삼평동)","031-8016-8206",
"서현동물병원","경기도 성남시 중원구 성남대로 1110 (하대원동)","754-4829",
"이리온아브뉴프랑 판교점","경기도 성남시 분당구 동판교로177번길 25, 126호 (삼평동, 판교 호반 써밋 플레이스)","031-8017-6125",
"정동물병원","경기도 성남시 중원구 희망로 375 (상대원동)","031-749-7557",
"젠(Gen)동물병원","경기도 성남시 중원구 양현로 469, 105호 (여수동, 가람빌딩)","031-752-0075",
"정원 양한방동물병원","경기도 성남시 분당구 운중로 233, 201호 (판교동,한솔플라자)","707-7599",
"활기찬동물병원","경기도 성남시 분당구 장안로 39, 102-2호 (분당동,한일빌딩)","781-7525",
"최재호 한방동물병원","경기도 성남시 수정구 복정로 129 (복정동)","070-7139-2235",
"펫토피아 동물병원","경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)","714-8392",
"판교 P&P 동물병원","경기도 성남시 분당구 서판교로 36, 104호 (판교동)","8017-5558",
"남현우동물병원","경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동,양지마을 주상복합상가)","717-7577",
"나라 동물병원","경기도 성남시 분당구 미금로 48, 113호 (구미동,오성프라자)","712-0707",
"시드니동물병원","경기도 성남시 수정구 태평로 10 (태평동)","723-7508",
"아이덱스래버러토리스 동물병원","경기도 성남시 분당구 황새울로319번길 8-6 (서현동,수의과학회관 7층)","031-702-0832",
"수아동물병원","경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)","031-708-3100",
"수 동물병원","경기도 성남시 분당구 운중로 135, 101,102호 (운중동, 더원스퀘어)","8017-0130",
"현대 동물병원","경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)","718-7282",
"프라임동물병원","경기도 성남시 분당구 운중로 124, 204호 (운중동, 마크시티 블루)","8017-9975",
"태평역 동물병원","경기도 성남시 수정구 성남대로 1238, 104호 (태평동, 삼능스페이스향)","758-3119",
"모란동물병원","경기도 성남시 중원구 성남대로 1126, 106호 (성남동, 매가프라자)","752-7779",
"초이종합동물병원","경기도 성남시 수정구 시민로 159 (신흥동)","758-7776",
"분당파크뷰 동물병원","경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)","031-713-2111",
"AtoZ동물병원","경기도 성남시 분당구 동판교로 177, 1,2층 (삼평동)","031-8016-8206",
"서현동물병원","경기도 성남시 중원구 성남대로 1110 (하대원동)","754-4829",
"이리온아브뉴프랑 판교점","경기도 성남시 분당구 동판교로177번길 25, 126호 (삼평동, 판교 호반 써밋 플레이스)","031-8017-6125",
"정동물병원","경기도 성남시 중원구 희망로 375 (상대원동)","031-749-7557",
"젠(Gen)동물병원","경기도 성남시 중원구 양현로 469, 105호 (여수동, 가람빌딩)","031-752-0075",
"웰리스 클리닉","경기도 성남시 분당구 불정로 134 (정자동)","031-711-1911",
"세인트존스동물병원","경기도 성남시 분당구 정자일로 197, 101호 (정자동, 푸르지오씨티 2차)","031-713-8391",
"어니스트 동물병원","경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)","698-4789",
"유동물병원","경기도 의왕시 부곡중앙로 41 (삼동)","462-8277",
"현대 동물병원","경기도 의왕시 모락로 16 (오전동)","429-0975",
"의왕동물병원","경기도 의왕시 경수대로 372 (오전동)",
"중앙동물병원","경기도 의왕시 철도박물관로 71 (삼동)",
"우리집동물병원","경기도 의왕시 포일로 11, 내손동 2층 (내손동)","0314210008",
"아이덱스래버러토리스 동물병원","경기도 성남시 분당구 황새울로319번길 8-6 (서현동,수의과학회관 7층)","031-702-0832",
"수아동물병원","경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)","031-708-3100",
"수 동물병원","경기도 성남시 분당구 운중로 135, 101,102호 (운중동, 더원스퀘어)","8017-0130",
"현대 동물병원","경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)","718-7282",
"프라임동물병원","경기도 성남시 분당구 운중로 124, 204호 (운중동, 마크시티 블루)","8017-9975",
"태평역 동물병원","경기도 성남시 수정구 성남대로 1238, 104호 (태평동, 삼능스페이스향)","758-3119",
"모란동물병원","경기도 성남시 중원구 성남대로 1126, 106호 (성남동, 매가프라자)","752-7779",
"초이종합동물병원","경기도 성남시 수정구 시민로 159 (신흥동)","758-7776",
"분당파크뷰 동물병원","경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)","031-713-2111",
"AtoZ동물병원","경기도 성남시 분당구 동판교로 177, 1,2층 (삼평동)","031-8016-8206",
"서현동물병원","경기도 성남시 중원구 성남대로 1110 (하대원동)","754-4829",
"이리온아브뉴프랑 판교점","경기도 성남시 분당구 동판교로177번길 25, 126호 (삼평동, 판교 호반 써밋 플레이스)","031-8017-6125",
"정동물병원","경기도 성남시 중원구 희망로 375 (상대원동)","031-749-7557",
"젠(Gen)동물병원","경기도 성남시 중원구 양현로 469, 105호 (여수동, 가람빌딩)","031-752-0075",
"웰리스 클리닉","경기도 성남시 분당구 불정로 134 (정자동)","031-711-1911",
"세인트존스동물병원","경기도 성남시 분당구 정자일로 197, 101호 (정자동, 푸르지오씨티 2차)","031-713-8391",
"어니스트 동물병원","경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)","698-4789",
"유동물병원","경기도 의왕시 부곡중앙로 41 (삼동)","462-8277",
"현대 동물병원","경기도 의왕시 모락로 16 (오전동)","429-0975",
"의왕동물병원","경기도 의왕시 경수대로 372 (오전동)",
"중앙동물병원","경기도 의왕시 철도박물관로 71 (삼동)",
"우리집동물병원","경기도 의왕시 포일로 11, 내손동 2층 (내손동)","0314210008",
"위즈동물병원","경기도 의왕시 내손순환로 8 (내손동)","031-423-4033",
"펫가든 의왕점동물병원","경기도 의왕시 계원대학로 7 (내손동)",
"포일동물병원","경기도 의왕시 포일세거리로 3, 112호 (포일동, 파레사타워)","031-425-7541",
"중앙동물병원","","885-3347",
"태성진동물병원","","883-6615",
"세종가축병원","경기도 여주시 오학동 강변북로 42, 1동","883-2802",
"그린축산동물병원","경기도 여주시 여흥로33번길 5 (하동)","886-7582",
"푸른동물병원","","883-6363",
"분당파크뷰 동물병원","경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)","031-713-2111",
"AtoZ동물병원","경기도 성남시 분당구 동판교로 177, 1,2층 (삼평동)","031-8016-8206",
"서현동물병원","경기도 성남시 중원구 성남대로 1110 (하대원동)","754-4829",
"이리온아브뉴프랑 판교점","경기도 성남시 분당구 동판교로177번길 25, 126호 (삼평동, 판교 호반 써밋 플레이스)","031-8017-6125",
"정동물병원","경기도 성남시 중원구 희망로 375 (상대원동)","031-749-7557",
"젠(Gen)동물병원","경기도 성남시 중원구 양현로 469, 105호 (여수동, 가람빌딩)","031-752-0075",
"웰리스 클리닉","경기도 성남시 분당구 불정로 134 (정자동)","031-711-1911",
"세인트존스동물병원","경기도 성남시 분당구 정자일로 197, 101호 (정자동, 푸르지오씨티 2차)","031-713-8391",
"어니스트 동물병원","경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)","698-4789",
"유동물병원","경기도 의왕시 부곡중앙로 41 (삼동)","462-8277",
"현대 동물병원","경기도 의왕시 모락로 16 (오전동)","429-0975",
"의왕동물병원","경기도 의왕시 경수대로 372 (오전동)",
"중앙동물병원","경기도 의왕시 철도박물관로 71 (삼동)",
"우리집동물병원","경기도 의왕시 포일로 11, 내손동 2층 (내손동)","0314210008",
"위즈동물병원","경기도 의왕시 내손순환로 8 (내손동)","031-423-4033",
"펫가든 의왕점동물병원","경기도 의왕시 계원대학로 7 (내손동)",
"포일동물병원","경기도 의왕시 포일세거리로 3, 112호 (포일동, 파레사타워)","031-425-7541",
"중앙동물병원","","885-3347",
"태성진동물병원","","883-6615",
"세종가축병원","경기도 여주시 오학동 강변북로 42, 1동","883-2802",
"그린축산동물병원","경기도 여주시 여흥로33번길 5 (하동)","886-7582",
"푸른동물병원","","883-6363",
"백산동물병원","경기도 여주시 청심로132번길 99 (하동)","031-883-3030",
"여주동물병원","경기도 여주시 강천면 강문로 590",
"나무동물병원","경기도 여주시 청심로 17-7 (하동)","031-885-7475",
"강산동물병원","경기도 여주시 홍문동 세종로 68-17",
"강아지와고양이동물병원","경기도 여주시 북내면 강문로 117","0318835199",
"쿨펫동물병원","경기도 여주시 세종로 151 (홍문동)","885-7588",
"중앙동물병원","경기도 구리시 동구릉로 30 (인창동)",
"시티종합동물병원","경기도 구리시 이문안로 15 (교문동)","031-555-7588",
"어니스트 동물병원","경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)","698-4789",
"유동물병원","경기도 의왕시 부곡중앙로 41 (삼동)","462-8277",
"현대 동물병원","경기도 의왕시 모락로 16 (오전동)","429-0975",
"의왕동물병원","경기도 의왕시 경수대로 372 (오전동)",
"중앙동물병원","경기도 의왕시 철도박물관로 71 (삼동)",
"우리집동물병원","경기도 의왕시 포일로 11, 내손동 2층 (내손동)","0314210008",
"위즈동물병원","경기도 의왕시 내손순환로 8 (내손동)","031-423-4033",
"펫가든 의왕점동물병원","경기도 의왕시 계원대학로 7 (내손동)",
"포일동물병원","경기도 의왕시 포일세거리로 3, 112호 (포일동, 파레사타워)","031-425-7541",
"중앙동물병원","","885-3347",
"태성진동물병원","","883-6615",
"세종가축병원","경기도 여주시 오학동 강변북로 42, 1동","883-2802",
"그린축산동물병원","경기도 여주시 여흥로33번길 5 (하동)","886-7582",
"푸른동물병원","","883-6363",
"백산동물병원","경기도 여주시 청심로132번길 99 (하동)","031-883-3030",
"여주동물병원","경기도 여주시 강천면 강문로 590",
"나무동물병원","경기도 여주시 청심로 17-7 (하동)","031-885-7475",
"강산동물병원","경기도 여주시 홍문동 세종로 68-17",
"강아지와고양이동물병원","경기도 여주시 북내면 강문로 117","0318835199",
"쿨펫동물병원","경기도 여주시 세종로 151 (홍문동)","885-7588",
"중앙동물병원","경기도 구리시 동구릉로 30 (인창동)",
"시티종합동물병원","경기도 구리시 이문안로 15 (교문동)","031-555-7588",
"건국동물병원","경기도 구리시 이문안로 27 (교문동)","569-0277",
"아마존동물병원","경기도 구리시 경춘로 128 (교문동)","031-556-6250",
"행복한동물병원","경기도 구리시 검배로 49 (수택동)","031-557-7588",
"토평","경기도 구리시 장자대로86번길 14-4 (수택동)","031-566-5800",
"래플즈 동물병원","경기도 구리시 동구릉로 120 (인창동)","031-563-7582",
"가람동물병원","경기도 구리시 건원대로 41 (인창동)","031-558-7582",
"펫가든 구리점 동물병원(위즈 펫)","경기도 구리시 동구릉로136번길 57 (인창동, 구리유통종합시장)","031-565-5275",
"구리 안심 동물병원","경기도 구리시 벌말로 186 (토평동)","569-8875",
"포일동물병원","경기도 의왕시 포일세거리로 3, 112호 (포일동, 파레사타워)","031-425-7541",
"중앙동물병원","","885-3347",
"태성진동물병원","","883-6615",
"세종가축병원","경기도 여주시 오학동 강변북로 42, 1동","883-2802",
"그린축산동물병원","경기도 여주시 여흥로33번길 5 (하동)","886-7582",
"푸른동물병원","","883-6363",
"백산동물병원","경기도 여주시 청심로132번길 99 (하동)","031-883-3030",
"여주동물병원","경기도 여주시 강천면 강문로 590",
"나무동물병원","경기도 여주시 청심로 17-7 (하동)","031-885-7475",
"강산동물병원","경기도 여주시 홍문동 세종로 68-17",
"강아지와고양이동물병원","경기도 여주시 북내면 강문로 117","0318835199",
"쿨펫동물병원","경기도 여주시 세종로 151 (홍문동)","885-7588",
"중앙동물병원","경기도 구리시 동구릉로 30 (인창동)",
"시티종합동물병원","경기도 구리시 이문안로 15 (교문동)","031-555-7588",
"건국동물병원","경기도 구리시 이문안로 27 (교문동)","569-0277",
